/usr/lib/jvm/java-1.7.0-openjdk-amd64/bin/java -Didea.launcher.port=7532 -Didea.launcher.bin.path=/usr/bin/idea/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/charsets.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/compilefontconfig.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/dnsns.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/icedtea-sound.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/java-atk-wrapper.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/localedata.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/zipfs.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/javazic.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/jce.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/jsse.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/management-agent.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/resources.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/rhino.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/rt.jar:/home/doms/Research/SwarmRoboticResearch/platypus3000/target/classes:/home/doms/.m2/repository/org/processing/core/core/2.2/core-2.2.jar:/home/doms/.m2/repository/org/processing/pdf/pdf/2.2/pdf-2.2.jar:/home/doms/.m2/repository/com/lowagie/itext/2.1.7/itext-2.1.7.jar:/home/doms/.m2/repository/bouncycastle/bcmail-jdk14/138/bcmail-jdk14-138.jar:/home/doms/.m2/repository/bouncycastle/bcprov-jdk14/138/bcprov-jdk14-138.jar:/home/doms/.m2/repository/org/bouncycastle/bctsp-jdk14/1.38/bctsp-jdk14-1.38.jar:/home/doms/.m2/repository/org/bouncycastle/bcprov-jdk14/1.38/bcprov-jdk14-1.38.jar:/home/doms/.m2/repository/org/bouncycastle/bcmail-jdk14/1.38/bcmail-jdk14-1.38.jar:/home/doms/.m2/repository/org/jbox2d/jbox2d-library/2.2.1.1/jbox2d-library-2.2.1.1.jar:/home/doms/.m2/repository/com/google/guava/guava/17.0/guava-17.0.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all-main/2.1.5-01/jogl-all-main-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-android-armv6.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-armv6.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-armv6hf.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-i586.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-macosx-universal.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-solaris-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-solaris-i586.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-windows-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-windows-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt-main/2.1.5-01/gluegen-rt-main-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-android-armv6.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-armv6.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-armv6hf.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-macosx-universal.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-solaris-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-solaris-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-windows-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-windows-i586.jar:/home/doms/.m2/repository/org/javabits/jgrapht/jgrapht-core/0.9.1/jgrapht-core-0.9.1.jar:/usr/bin/idea/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain projects.triangulation.Environment.HeadlessRunner
Loading configuration from /home/doms/Research/SwarmRoboticResearch/platypus3000/src/main/java/projects/triangulation/Environment/Environment1.properties
Radius = 0.05 meter
Range = 1.2 meter
MessageBufferSize = 5000
MaximalAcceleration = 0.1
MaximalVelocity = 1.0
MaximalBrakePower = 0.3
MaximalRotationAcceleration = 1.0
MaximalRotationVelocity = 10.0
MaximalRotationBreak = 1.0
ConnectivityProbability = 1.0
NeighborPositionAngleNoise = 0.0
NeighborPositionDistanceNoise = 0.01
SpeedDeviationChange = 0.2 (Noisy)
RotationSpeedDeviationChange = 0.2 (Noisy)
CleanOldMessages = False
#Environment:
/home/doms/Research/SwarmRoboticResearch/platypus3000/src/main/java/projects/triangulation/Environment/expenv_1
#Neighborhood Update Probability
1/2
Unable to transform
Unable to transform
Unable to transform
Unable to transform
Unable to transform
Unable to transform
Unable to transform
Unable to transform
Unable to transform
Unable to transform
#Steps
225100
#Robots
206
#Triangles
((-0.5,0.0), (0.0,-0.86), (0.5,0.0)), 0.42999998347703766
((0.01107663,0.7163834), (-0.5,0.0), (0.5,0.0)), 0.35819167739729935
((0.01107663,0.7163834), (0.3945257,1.5063142), (-0.29781836,1.464482)), 0.2654316703492151
((-0.8463452,0.8372887), (-0.5,0.0), (0.01107663,0.7163834)), 0.33801731314489064
((-0.8463452,0.8372887), (-0.29781836,1.464482), (-1.1888752,1.6382787)), 0.3270984896207766
((0.8696267,0.78052604), (0.01107663,0.7163834), (0.5,0.0)), 0.3232059285551972
((0.8696267,0.78052604), (1.7212574,0.9098198), (1.238512,1.5942109)), 0.32263220542745114
((-1.3670793,0.1230291), (-0.5,0.0), (-0.8463452,0.8372887)), 0.3416925652601087
((0.3945257,1.5063142), (0.01107663,0.7163834), (0.8696267,0.78052604)), 0.32679986175842934
((0.3945257,1.5063142), (0.73678,2.3260481), (-0.005605849,2.0518024)), 0.25734855348589253
((-0.29781836,1.464482), (-0.8463452,0.8372887), (0.01107663,0.7163834)), 0.30204449464241767
((-0.29781836,1.464482), (-0.005605849,2.0518024), (-0.5639423,2.2796504)), 0.1972512060504444
((1.3826455,0.0992836), (0.8696267,0.78052604), (0.5,0.0)), 0.32611498079521334
((-1.6928123,0.92028797), (-1.3670793,0.1230291), (-0.8463452,0.8372887)), 0.32390888757731306
((-1.6928123,0.92028797), (-1.1888752,1.6382787), (-1.995249,1.7301248)), 0.3126268129536417
((-1.1888752,1.6382787), (-1.6928123,0.92028797), (-0.8463452,0.8372887)), 0.32479100109633263
((-1.1888752,1.6382787), (-0.5639423,2.2796504), (-1.4895589,2.4416623)), 0.347455448924261
((1.7212574,0.9098198), (0.8696267,0.78052604), (1.3826455,0.0992836)), 0.3232485836813774
((1.7212574,0.9098198), (2.591391,1.0193852), (2.10457,1.682725)), 0.31526648725388046
((-0.5639423,2.2796504), (-1.1888752,1.6382787), (-0.29781836,1.464482)), 0.34005498350362223
((-0.5639423,2.2796504), (0.02965091,2.916952), (-0.8932874,3.108896)), 0.3510633103502404
((-0.005605849,2.0518024), (-0.29781836,1.464482), (0.3945257,1.5063142)), 0.19720195460351905
((-0.005605849,2.0518024), (0.73678,2.3260481), (0.02965091,2.916952)), 0.31630287129901635
((1.238512,1.5942109), (0.3945257,1.5063142), (0.8696267,0.78052604)), 0.3271575243243043
((1.238512,1.5942109), (1.5991979,2.391674), (0.73678,2.3260481)), 0.3320380715062136
((2.10457,1.682725), (1.238512,1.5942109), (1.7212574,0.9098198)), 0.31772599666252144
((2.10457,1.682725), (3.0064416,1.8184885), (2.472894,2.493331)), 0.3405287952353872
((0.73678,2.3260481), (0.3945257,1.5063142), (1.238512,1.5942109)), 0.3308806397901703
((0.73678,2.3260481), (1.3337761,2.8745868), (0.86205775,3.191956)), 0.22411198483242517
((-2.228015,0.24085544), (-1.3670793,0.1230291), (-1.6928123,0.92028797)), 0.3240043436762962
((-2.5494828,1.0632464), (-2.228015,0.24085544), (-1.6928123,0.92028797)), 0.32928073657979523
((-2.5494828,1.0632464), (-2.8449056,1.8813533), (-3.4077387,1.1937438)), 0.33179656317731926
((2.2498024,0.21737577), (1.7212574,0.9098198), (1.3826455,0.0992836)), 0.33143725275817776
