/usr/lib/jvm/java-1.7.0-openjdk-amd64/bin/java -Didea.launcher.port=7532 -Didea.launcher.bin.path=/usr/bin/idea/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/charsets.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/compilefontconfig.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/dnsns.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/icedtea-sound.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/java-atk-wrapper.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/localedata.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/zipfs.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/javazic.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/jce.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/jsse.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/management-agent.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/resources.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/rhino.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/rt.jar:/home/doms/Research/SwarmRoboticResearch/platypus3000/target/classes:/home/doms/.m2/repository/org/processing/core/core/2.2/core-2.2.jar:/home/doms/.m2/repository/org/processing/pdf/pdf/2.2/pdf-2.2.jar:/home/doms/.m2/repository/com/lowagie/itext/2.1.7/itext-2.1.7.jar:/home/doms/.m2/repository/bouncycastle/bcmail-jdk14/138/bcmail-jdk14-138.jar:/home/doms/.m2/repository/bouncycastle/bcprov-jdk14/138/bcprov-jdk14-138.jar:/home/doms/.m2/repository/org/bouncycastle/bctsp-jdk14/1.38/bctsp-jdk14-1.38.jar:/home/doms/.m2/repository/org/bouncycastle/bcprov-jdk14/1.38/bcprov-jdk14-1.38.jar:/home/doms/.m2/repository/org/bouncycastle/bcmail-jdk14/1.38/bcmail-jdk14-1.38.jar:/home/doms/.m2/repository/org/jbox2d/jbox2d-library/2.2.1.1/jbox2d-library-2.2.1.1.jar:/home/doms/.m2/repository/com/google/guava/guava/17.0/guava-17.0.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all-main/2.1.5-01/jogl-all-main-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-android-armv6.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-armv6.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-armv6hf.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-i586.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-macosx-universal.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-solaris-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-solaris-i586.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-windows-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-windows-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt-main/2.1.5-01/gluegen-rt-main-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-android-armv6.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-armv6.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-armv6hf.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-macosx-universal.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-solaris-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-solaris-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-windows-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-windows-i586.jar:/home/doms/.m2/repository/org/javabits/jgrapht/jgrapht-core/0.9.1/jgrapht-core-0.9.1.jar:/usr/bin/idea/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain projects.triangulation.Environment.HeadlessRunner
Loading configuration from /home/doms/Research/SwarmRoboticResearch/platypus3000/src/main/java/projects/triangulation/Environment/Environment1.properties
Radius = 0.05 meter
Range = 1.2 meter
MessageBufferSize = 5000
MaximalAcceleration = 0.1
MaximalVelocity = 1.0
MaximalBrakePower = 0.3
MaximalRotationAcceleration = 1.0
MaximalRotationVelocity = 10.0
MaximalRotationBreak = 1.0
ConnectivityProbability = 1.0
NeighborPositionAngleNoise = 0.0
NeighborPositionDistanceNoise = 0.01
SpeedDeviationChange = 0.2 (Noisy)
RotationSpeedDeviationChange = 0.2 (Noisy)
CleanOldMessages = False
#Environment:
/home/doms/Research/SwarmRoboticResearch/platypus3000/src/main/java/projects/triangulation/Environment/expenv_1
#Neighborhood Update Probability
1/2
#Steps
206050
#Robots
188
#Triangles
((-0.5,0.0), (0.0,-0.86), (0.5,0.0)), 0.42999998347703766
((0.010305141,0.72017175), (-0.5,0.0), (0.5,0.0)), 0.36008586237103957
((0.010305141,0.72017175), (0.40341994,1.5249957), (-0.34100434,1.5062596)), 0.29588253620591987
((-0.8749326,0.80018455), (-0.5,0.0), (0.010305141,0.72017175)), 0.3391770696665298
((-0.8749326,0.80018455), (-0.34100434,1.5062596), (-1.253825,1.5839367)), 0.34299691025993884
((0.874957,0.80203056), (0.010305141,0.72017175), (0.5,0.0)), 0.33139186331507575
((0.874957,0.80203056), (1.7567335,0.88295406), (1.2726309,1.5770777)), 0.32561861731191677
((1.351184,0.088667154), (0.874957,0.80203056), (0.5,0.0)), 0.32471459171987
((-0.34100434,1.5062596), (-0.8749326,0.80018455), (0.010305141,0.72017175)), 0.3338826454005618
((-0.34100434,1.5062596), (0.0330084,2.3176663), (-0.73076,2.2756665)), 0.3020091445300998
((0.40341994,1.5249957), (0.010305141,0.72017175), (0.874957,0.80203056)), 0.33185630003909383
((0.40341994,1.5249957), (0.8110572,2.339825), (0.0330084,2.3176663)), 0.31247213954710423
((-1.3696867,0.07680589), (-0.5,0.0), (-0.8749326,0.80018455)), 0.333556442050628
((1.2726309,1.5770777), (0.40341994,1.5249957), (0.874957,0.80203056)), 0.3264839141689096
((1.2726309,1.5770777), (2.1407783,1.6530225), (1.6838771,2.3522997)), 0.3208874450398236
((1.7567335,0.88295406), (0.874957,0.80203056), (1.351184,0.088667154)), 0.3337825031205208
((1.7567335,0.88295406), (2.6280758,0.9022494), (2.1407783,1.6530225)), 0.3317914770202369
((2.2105172,0.15134685), (1.7567335,0.88295406), (1.351184,0.088667154)), 0.3285686695034125
((-1.7399412,0.8584178), (-1.3696867,0.07680589), (-0.8749326,0.80018455)), 0.3272699841982826
((-1.7399412,0.8584178), (-2.1320462,1.6386807), (-2.608963,0.93130165)), 0.32474367322184283
((-1.253825,1.5839367), (-1.7399412,0.8584178), (-0.8749326,0.80018455)), 0.3279441266859841
((-1.253825,1.5839367), (-1.5973318,2.3631756), (-2.1320462,1.6386807)), 0.3327696499528937
((-0.73076,2.2756665), (-1.253825,1.5839367), (-0.34100434,1.5062596)), 0.3360276877413904
((-0.73076,2.2756665), (-1.1715268,2.917557), (-1.5973318,2.3631756)), 0.25883653313324523
((0.0330084,2.3176663), (-0.34100434,1.5062596), (0.40341994,1.5249957)), 0.29851164920238854
((0.0330084,2.3176663), (0.4067604,3.1055963), (-0.393076,3.0771482)), 0.30979129352987494
((-2.2328506,0.13637552), (-1.3696867,0.07680589), (-1.7399412,0.8584178)), 0.3263015945970793
((0.8110572,2.339825), (0.40341994,1.5249957), (1.2726309,1.5770777)), 0.34351397127226685
((0.8110572,2.339825), (1.2387997,3.0996556), (0.4067604,3.1055963)), 0.3173750538978065
((2.1407783,1.6530225), (1.2726309,1.5770777), (1.7567335,0.88295406)), 0.31968332929305093
((2.1407783,1.6530225), (3.019461,1.6724119), (2.5437582,2.43126)), 0.33800518982263345
((2.6280758,0.9022494), (1.7567335,0.88295406), (2.2105172,0.15134685)), 0.323118111114558
((2.6280758,0.9022494), (3.5138822,0.922678), (3.019461,1.6724119)), 0.3371097272957279
((1.6838771,2.3522997), (0.8110572,2.339825), (1.2726309,1.5770777)), 0.3357494848322662
((1.6838771,2.3522997), (2.5437582,2.43126), (2.126542,3.1405973)), 0.32144458102667905
((-1.5973318,2.3631756), (-1.253825,1.5839367), (-0.73076,2.2756665)), 0.3226032338217696
((-1.5973318,2.3631756), (-2.019765,3.1044505), (-2.4639459,2.4399967)), 0.30497371239801957
((3.019461,1.6724119), (2.1407783,1.6530225), (2.6280758,0.9022494)), 0.33456984173084103
((3.019461,1.6724119), (3.9035573,1.7130877), (3.4029322,2.4429302)), 0.33280725116799437
((0.4067604,3.1055963), (0.0330084,2.3176663), (0.8110572,2.339825)), 0.30238309599283225
((0.4067604,3.1055963), (0.8318275,3.8589735), (-0.03077349,3.8511782)), 0.323275227313131
((-0.393076,3.0771482), (-0.73076,2.2756665), (0.0330084,2.3176663)), 0.2989818701079704
((-0.393076,3.0771482), (-0.03077349,3.8511782), (-0.927228,3.7060113)), 0.32064412558177274
((-1.1715268,2.917557), (-0.73076,2.2756665), (-0.393076,3.0771482)), 0.28501134613524287
((-1.1715268,2.917557), (-0.927228,3.7060113), (-1.6272165,3.6777494)), 0.2725022944301288
((-2.1320462,1.6386807), (-1.7399412,0.8584178), (-1.253825,1.5839367)), 0.3318890435359961
((-2.1320462,1.6386807), (-2.4639459,2.4399967), (-3.0028834,1.7100779)), 0.33705955349387445
((-2.608963,0.93130165), (-2.2328506,0.13637552), (-1.7399412,0.8584178)), 0.33169781267067694
((-2.608963,0.93130165), (-3.0028834,1.7100779), (-3.4809408,0.9827701)), 0.3294005578058357
((-3.0028834,1.7100779), (-2.608963,0.93130165), (-2.1320462,1.6386807)), 0.3250312735109456
((-3.0028834,1.7100779), (-3.342279,2.5092306), (-3.8728313,1.765758)), 0.33816183374354997
((-2.019765,3.1044505), (-1.5973318,2.3631756), (-1.1715268,2.917557)), 0.27491379437897906
((-2.019765,3.1044505), (-2.4747882,3.845721), (-2.8703418,3.2115266)), 0.29089272227230223
((2.5437582,2.43126), (1.6838771,2.3522997), (2.1407783,1.6530225)), 0.3186861712930605
((2.5437582,2.43126), (3.4029322,2.4429302), (3.0073361,3.1882927)), 0.32250640428453314
((1.2387997,3.0996556), (0.8110572,2.339825), (1.6838771,2.3522997)), 0.3289296637965614
((1.2387997,3.0996556), (1.6575632,3.868552), (0.8318275,3.8589735)), 0.3154470007901529
((3.0777597,0.15019116), (2.6280758,0.9022494), (2.2105172,0.15134685)), 0.32584861909559976
((-3.1073036,0.1992571), (-2.2328506,0.13637552), (-2.608963,0.93130165)), 0.33573754592003835
((3.5138822,0.922678), (2.6280758,0.9022494), (3.0777597,0.15019116)), 0.33768218562667585
((-3.4809408,0.9827701), (-3.1073036,0.1992571), (-2.608963,0.93130165)), 0.3319877034970811
((-3.4809408,0.9827701), (-3.9411716,1.2040776), (-3.9420278,0.32664767)), 0.2020049023245816
((-2.4639459,2.4399967), (-2.1320462,1.6386807), (-1.5973318,2.3631756)), 0.33446742144198455
((-2.4639459,2.4399967), (-2.8703418,3.2115266), (-3.342279,2.5092306)), 0.32476188941993017
((3.9035573,1.7130877), (3.019461,1.6724119), (3.5138822,0.922678)), 0.3414739663818443
((2.126542,3.1405973), (1.2387997,3.0996556), (1.6838771,2.3522997)), 0.34084090468493106
((2.126542,3.1405973), (3.0073361,3.1882927), (2.5538332,3.926164)), 0.3357712977706488
((-0.03077349,3.8511782), (-0.393076,3.0771482), (0.4067604,3.1055963)), 0.30439522981487027
