/usr/lib/jvm/java-1.7.0-openjdk-amd64/bin/java -Didea.launcher.port=7535 -Didea.launcher.bin.path=/usr/bin/idea/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/charsets.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/compilefontconfig.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/dnsns.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/icedtea-sound.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/java-atk-wrapper.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/localedata.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/ext/zipfs.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/javazic.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/jce.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/jsse.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/management-agent.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/resources.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/rhino.jar:/usr/lib/jvm/java-1.7.0-openjdk-amd64/jre/lib/rt.jar:/home/doms/Research/SwarmRoboticResearch/platypus3000/target/classes:/home/doms/.m2/repository/org/processing/core/core/2.2/core-2.2.jar:/home/doms/.m2/repository/org/processing/pdf/pdf/2.2/pdf-2.2.jar:/home/doms/.m2/repository/com/lowagie/itext/2.1.7/itext-2.1.7.jar:/home/doms/.m2/repository/bouncycastle/bcmail-jdk14/138/bcmail-jdk14-138.jar:/home/doms/.m2/repository/bouncycastle/bcprov-jdk14/138/bcprov-jdk14-138.jar:/home/doms/.m2/repository/org/bouncycastle/bctsp-jdk14/1.38/bctsp-jdk14-1.38.jar:/home/doms/.m2/repository/org/bouncycastle/bcprov-jdk14/1.38/bcprov-jdk14-1.38.jar:/home/doms/.m2/repository/org/bouncycastle/bcmail-jdk14/1.38/bcmail-jdk14-1.38.jar:/home/doms/.m2/repository/org/jbox2d/jbox2d-library/2.2.1.1/jbox2d-library-2.2.1.1.jar:/home/doms/.m2/repository/com/google/guava/guava/17.0/guava-17.0.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all-main/2.1.5-01/jogl-all-main-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-android-armv6.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-armv6.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-armv6hf.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-linux-i586.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-macosx-universal.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-solaris-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-solaris-i586.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-windows-amd64.jar:/home/doms/.m2/repository/org/jogamp/jogl/jogl-all/2.1.5-01/jogl-all-2.1.5-01-natives-windows-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt-main/2.1.5-01/gluegen-rt-main-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-android-armv6.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-armv6.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-armv6hf.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-linux-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-macosx-universal.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-solaris-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-solaris-i586.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-windows-amd64.jar:/home/doms/.m2/repository/org/jogamp/gluegen/gluegen-rt/2.1.5-01/gluegen-rt-2.1.5-01-natives-windows-i586.jar:/home/doms/.m2/repository/org/javabits/jgrapht/jgrapht-core/0.9.1/jgrapht-core-0.9.1.jar:/usr/bin/idea/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain projects.triangulation.Environment.HeadlessRunner
Loading configuration from /home/doms/Research/SwarmRoboticResearch/platypus3000/src/main/java/projects/triangulation/Environment/Environment1.properties
Radius = 0.05 meter
Range = 1.2 meter
MessageBufferSize = 5000
MaximalAcceleration = 0.1
MaximalVelocity = 1.0
MaximalBrakePower = 0.3
MaximalRotationAcceleration = 1.0
MaximalRotationVelocity = 10.0
MaximalRotationBreak = 1.0
ConnectivityProbability = 1.0
NeighborPositionAngleNoise = 0.0
NeighborPositionDistanceNoise = 0.01
SpeedDeviationChange = 0.2 (Noisy)
RotationSpeedDeviationChange = 0.2 (Noisy)
CleanOldMessages = False
#Environment:
/home/doms/Research/SwarmRoboticResearch/platypus3000/src/main/java/projects/triangulation/Environment/expenv_1
#Neighborhood Update Probability
1/2
Could not determine adjacent triangle
156 evasion -> no adjacent triangle
Could not determine adjacent triangle
156 evasion -> no adjacent triangle
Could not determine adjacent triangle
191 evasion -> no adjacent triangle
Could not determine adjacent triangle
191 evasion -> no adjacent triangle
Could not determine adjacent triangle
191 evasion -> no adjacent triangle
Could not determine adjacent triangle
191 evasion -> no adjacent triangle
#Steps
217950
#Robots
190
#Triangles
((-0.5,0.0), (0.0,-0.86), (0.5,0.0)), 0.42999998347703766
((-2.8380274E-4,0.7228167), (-0.5,0.0), (0.5,0.0)), 0.3614083484567296
((-2.8380274E-4,0.7228167), (0.3708974,1.5099511), (-0.3803232,1.4095566)), 0.27702352008481085
((0.8681423,0.79916793), (-2.8380274E-4,0.7228167), (0.5,0.0)), 0.3329550849584398
((0.8681423,0.79916793), (1.7305648,0.8641042), (1.2621884,1.5891317)), 0.3278473178639203
((-0.8642779,0.7913754), (-0.5,0.0), (-2.8380274E-4,0.7228167)), 0.3293846452339511
((-0.8642779,0.7913754), (-1.2342606,1.5654869), (-1.7444043,0.8587614)), 0.32819219309964276
((-1.3467926,0.068719946), (-0.5,0.0), (-0.8642779,0.7913754)), 0.3225488169820045
((1.3618011,0.075703844), (0.8681423,0.79916793), (0.5,0.0)), 0.3304270079923823
((0.3708974,1.5099511), (-2.8380274E-4,0.7228167), (0.8681423,0.79916793)), 0.3276139434766643
((0.3708974,1.5099511), (0.755866,2.2960758), (-0.11583494,2.2320092)), 0.33030102894839586
((-0.3803232,1.4095566), (-0.8642779,0.7913754), (-2.8380274E-4,0.7228167)), 0.2836421326278994
((-0.3803232,1.4095566), (-0.11583494,2.2320092), (-0.84897727,2.2167685)), 0.29947189101074945
((-1.2342606,1.5654869), (-0.8642779,0.7913754), (-0.3803232,1.4095566)), 0.30167565569911875
((-1.2342606,1.5654869), (-1.7350094,2.300894), (-2.1055694,1.6369028)), 0.302502623420563
((1.7305648,0.8641042), (0.8681423,0.79916793), (1.3618011,0.075703844)), 0.3279940025781476
((1.7305648,0.8641042), (2.640314,0.90314955), (2.1267462,1.6382082)), 0.34438570802106144
((-0.11583494,2.2320092), (-0.3803232,1.4095566), (0.3708974,1.5099511)), 0.29564509861794575
((-0.11583494,2.2320092), (0.26473674,3.0055332), (-0.51067,3.006556)), 0.300092490661038
((1.2621884,1.5891317), (0.3708974,1.5099511), (0.8681423,0.79916793)), 0.3364434203020825
((1.2621884,1.5891317), (2.1267462,1.6382082), (1.6082022,2.3947957)), 0.33978096612227104
((2.1267462,1.6382082), (1.2621884,1.5891317), (1.7305648,0.8641042)), 0.3249071924038709
((2.1267462,1.6382082), (2.99484,1.7021651), (2.4793713,2.4345303)), 0.3343646801042309
((-1.7444043,0.8587614), (-1.3467926,0.068719946), (-0.8642779,0.7913754)), 0.3342714581652625
((-1.7444043,0.8587614), (-2.1055694,1.6369028), (-2.6141167,0.8949536)), 0.33184390673124925
((-2.1055694,1.6369028), (-1.7444043,0.8587614), (-1.2342606,1.5654869)), 0.3261042656183179
((-2.1055694,1.6369028), (-2.6302688,2.388805), (-2.9646225,1.7135148)), 0.3028627800115602
((2.21649,0.119104035), (1.7305648,0.8641042), (1.3618011,0.075703844)), 0.32891632209632854
((2.640314,0.90314955), (1.7305648,0.8641042), (2.21649,0.119104035)), 0.3483682371159944
((2.640314,0.90314955), (3.5098794,0.8903726), (2.99484,1.7021651)), 0.3496629471464369
((0.755866,2.2960758), (0.3708974,1.5099511), (1.2621884,1.5891317)), 0.3350918794718671
((0.755866,2.2960758), (1.0870795,3.0941114), (0.26473674,3.0055332)), 0.31346028128201286
((1.6082022,2.3947957), (0.755866,2.2960758), (1.2621884,1.5891317)), 0.32626904393661815
((1.6082022,2.3947957), (2.4793713,2.4345303), (1.9434823,3.2036347)), 0.3456567097339999
((-0.84897727,2.2167685), (-1.2342606,1.5654869), (-0.3803232,1.4095566)), 0.3081155282628804
((-0.84897727,2.2167685), (-0.51067,3.006556), (-1.2450892,2.8870463)), 0.26980205421383285
((-2.2239125,0.116804056), (-1.3467926,0.068719946), (-1.7444043,0.8587614)), 0.33692119424984074
((-2.6141167,0.8949536), (-2.2239125,0.116804056), (-1.7444043,0.8587614)), 0.33132200223288605
((-2.6141167,0.8949536), (-2.9646225,1.7135148), (-3.498066,0.94518036)), 0.352980910079503
((0.26473674,3.0055332), (-0.11583494,2.2320092), (0.755866,2.2960758)), 0.3249498420304071
((0.26473674,3.0055332), (0.59381795,3.83017), (-0.114561014,3.7794895)), 0.283738636280838
((-0.51067,3.006556), (-0.84897727,2.2167685), (-0.11583494,2.2320092)), 0.28693527340632674
((-0.51067,3.006556), (-0.114561014,3.7794895), (-1.0127921,3.7037644)), 0.33213872852960347
((-1.7350094,2.300894), (-1.2342606,1.5654869), (-0.84897727,2.2167685)), 0.3047343120315722
((-1.7350094,2.300894), (-2.0972395,3.074658), (-2.6302688,2.388805)), 0.33043768445899624
((-1.2450892,2.8870463), (-1.7350094,2.300894), (-0.84897727,2.2167685)), 0.28028226300210785
((-1.2450892,2.8870463), (-1.0127921,3.7037644), (-1.7086241,3.6498017)), 0.27788161118639787
((-2.9646225,1.7135148), (-2.6141167,0.8949536), (-2.1055694,1.6369028)), 0.33816731981363546
((-2.9646225,1.7135148), (-3.4809232,2.4005446), (-3.7656138,1.6768397)), 0.2846201468813299
((2.99484,1.7021651), (2.1267462,1.6382082), (2.640314,0.90314955)), 0.33547298341664233
((2.99484,1.7021651), (3.8777182,1.6834521), (3.3622618,2.5096893)), 0.3599106072992372
((3.0744553,0.1343695), (2.640314,0.90314955), (2.21649,0.119104035)), 0.33310694631284066
((-3.1066597,0.1663169), (-2.2239125,0.116804056), (-2.6141167,0.8949536)), 0.3337946347239712
